KIC,Bmag,Vmag,e_lng,e_lat,B-V,V-I,Imag
KIC 10802837,11.1,10.04,315.99318,67.741256,1.06,1.03688560322,9.00311439678
KIC 11087371,11.27,9.93,315.5867166,68.3689018,1.34,1.31997985279,8.61002014721
KIC 11033302,11.12,10.13,315.6438036,68.2425779,0.99,0.983761279802,9.1462387202
KIC 11298776,11.6,10.45,314.9581528,68.9326108,1.15,1.11304014113,9.33695985887
KIC 11134982,11.09,10.03,310.8446207,69.3414692,1.06,1.03688560322,8.99311439678
KIC 11241927,11.04,9.87,311.3249072,69.4929941,1.17,1.13156182537,8.73843817463
KIC 11133969,10.95,9.77,309.8812972,69.4461152,1.18,1.14107352176,8.62892647824
KIC 10792949,11.48,10.22,309.5409136,68.8924699,1.26,1.22382631254,8.99617368746
KIC 9517542 ,11.51,10.41,303.2385749,67.5981229,1.1,1.06941272047,9.34058727953
KIC 9764708 ,11.11,9.98,306.3940334,67.5972401,1.13,1.09515235887,8.88484764113
KIC 9705687 ,10.68,9.8,307.5097878,67.3588012,0.88,0.905154084403,8.8948459156
KIC 9145955 ,10.95,10.05,303.2721522,66.9078652,0.9,0.91933393294,9.13066606706
KIC 9335570 ,11.36,10.11,305.1457546,67.0431236,1.25,1.21279248385,8.89720751615
KIC 10268744,11.45,10.26,307.8673749,68.1958817,1.19,1.15075920124,9.10924079876
KIC 10659842,11.08,10.23,308.1141558,68.8224417,0.85,0.883740922541,9.34625907746
KIC 10592802,11.12,10.11,306.995482,68.879149,1.01,0.998544973982,9.11145502602
KIC 10722175,10.78,9.65,305.8851492,69.2574418,1.13,1.09515235887,8.55484764113
KIC 10461323,11.2,10.21,305.2787492,68.9487311,0.99,0.983761279802,9.2262387202
KIC 8673221 ,11.05,10.09,296.3265688,66.9933341,0.96,0.962007646295,9.1279923537
KIC 8870432 ,11.31,10.06,298.5904108,67.0939236,1.25,1.21279248385,8.84720751615
KIC 8676927 ,11.41,10.36,299.9546877,66.6171279,1.05,1.02903290892,9.33096709108
KIC 8872709 ,10.96,10.02,300.414678,66.826888,0.94,0.947705791633,9.07229420837
KIC 9075225 ,11.38,10.38,298.6822847,67.3293613,1.0,0.991120414,9.388879586
KIC 9327993 ,11.3,10.01,297.6487961,67.9439458,1.29,1.25820276066,8.75179723934
KIC 9574730 ,11.07,10.09,298.9185265,68.2332069,0.98,0.97646070987,9.11353929013
KIC 9328682 ,11.21,10.19,298.3239406,67.8591229,1.02,1.00604177552,9.18395822448
KIC 10090853,11.1,9.81,319.9163736,65.8144524,1.29,1.25820276066,8.55179723934
KIC 10093930,11.03,9.89,321.2704064,65.577568,1.14,1.10401970585,8.78598029415
KIC 10095427,10.99,9.96,321.867026,65.4427425,1.03,1.01361757936,8.94638242064
KIC 10426854,11.24,10.31,323.0913352,65.7068298,0.93,0.940594213806,9.36940578619
KIC 9479404 ,11.76,10.78,318.3926411,64.9888381,0.98,0.97646070987,9.80353929013
KIC 9783226 ,11.32,10.1,318.3611447,65.6026084,1.22,1.18090848426,8.91909151574
KIC 9602917 ,11.4,10.23,318.8703206,65.1781658,1.17,1.13156182537,9.09843817463
KIC 9846355 ,10.99,9.85,319.6492885,65.4369136,1.14,1.10401970585,8.74598029415
KIC 9667930 ,11.12,10.24,320.7420435,64.9042867,0.88,0.905154084403,9.3348459156
KIC 9970830 ,11.42,10.42,321.743549,65.146727,1.0,0.991120414,9.428879586
KIC 10554179,11.17,10.36,322.1982153,66.0750947,0.81,0.85465308202,9.50534691798
KIC 10879372,11.67,10.58,322.6430594,66.6030028,1.09,1.06110097375,9.51889902625
KIC 10226276,11.33,10.39,321.2419941,65.7993094,0.94,0.947705791633,9.44229420837
KIC 10489108,10.9,9.78,321.8647126,66.1235827,1.12,1.0864325509,8.6935674491
KIC 10550429,10.79,9.86,320.6585626,66.4779601,0.93,0.940594213806,8.91940578619
KIC 11046496,11.07,10.09,323.4523304,66.7263426,0.98,0.97646070987,9.11353929013
KIC 10992711,11.43,10.32,323.5452042,66.5710999,1.11,1.07785460525,9.24214539475
KIC 10991398,11.06,9.91,322.8279448,66.7491491,1.15,1.11304014113,8.79695985887
KIC 11043831,11.59,10.36,321.963808,67.0509591,1.23,1.19133781778,9.16866218222
KIC 10989210,11.37,10.42,321.5712523,67.0014742,0.95,0.954841289507,9.46515871049
KIC 10745775,11.44,10.13,320.488704,66.8475182,1.31,1.28222211279,8.84777788721
KIC 9406596 ,11.44,10.26,311.7744704,66.0754951,1.18,1.14107352176,9.11892647824
KIC 9408590 ,11.05,10.0,313.0539233,65.8773485,1.05,1.02903290892,8.97096709108
KIC 9226335 ,11.26,10.12,314.6938393,65.2245451,1.14,1.10401970585,9.01598029415
KIC 9228469 ,11.2,10.3,315.8986165,65.0698132,0.9,0.91933393294,9.38066606706
KIC 9535399 ,11.16,9.93,315.9342562,65.5937784,1.23,1.19133781778,8.73866218222
KIC 9472481 ,11.29,10.31,314.8630434,65.6686357,0.98,0.97646070987,9.33353929013
KIC 9532518 ,11.28,10.35,314.27449,65.8602082,0.93,0.940594213806,9.40940578619
KIC 9836930 ,11.15,10.02,314.7026555,66.3495953,1.13,1.09515235887,8.92484764113
KIC 9713083 ,11.38,10.22,312.5712303,66.5597314,1.16,1.12221908455,9.09778091545
KIC 9772366 ,11.24,9.94,312.0094315,66.7593913,1.3,1.27009970048,8.66990029952
KIC 9406415 ,11.2,10.14,311.7495249,66.1651534,1.06,1.03688560322,9.10311439678
KIC 9711269 ,11.28,10.13,311.2791145,66.6907608,1.15,1.11304014113,9.01695985887
KIC 9957219 ,11.11,10.09,315.0016689,66.5588663,1.02,1.00604177552,9.08395822448
KIC 6271732 ,11.34,10.15,299.1282583,63.3470504,1.19,1.15075920124,8.99924079876
KIC 6273063 ,11.36,10.02,300.1195759,63.2517686,1.34,1.31997985279,8.70002014721
KIC 7188504 ,11.49,10.32,301.2672199,64.2213019,1.17,1.13156182537,9.18843817463
KIC 7428418 ,11.24,10.16,298.4009222,64.895924,1.08,1.05291332497,9.10708667503
KIC 8085964 ,11.04,10.06,300.847604,65.530509,0.98,0.97646070987,9.08353929013
KIC 6103934 ,10.9,9.89,294.5000822,63.7049497,1.01,0.998544973982,8.89145502602
KIC 5940060 ,10.97,9.94,293.8077732,63.5317666,1.03,1.01361757936,8.92638242064
KIC 6587245 ,11.31,10.13,296.2811028,64.0944054,1.18,1.14107352176,8.98892647824
KIC 6756648 ,11.26,10.3,294.6971788,64.4577712,0.96,0.962007646295,9.3379923537
KIC 3526061 ,11.33,10.37,294.7675744,60.7511392,0.96,0.962007646295,9.4079923537
KIC 3529480 ,11.1,9.91,296.9514118,60.5407925,1.19,1.15075920124,8.75924079876
KIC 3429738 ,11.43,10.25,297.8739212,60.3840204,1.18,1.14107352176,9.10892647824
KIC 3634720 ,11.1,10.01,299.5041305,60.3795656,1.09,1.06110097375,8.94889902625
KIC 2831788 ,11.4,10.27,295.3762618,60.0891179,1.13,1.09515235887,9.17484764113
KIC 2693261 ,11.6,10.36,295.6655991,59.9549073,1.24,1.20196438441,9.15803561559
KIC 2695267 ,10.75,9.76,296.627535,59.860702,0.99,0.983761279802,8.7762387202
KIC 3631821 ,11.41,10.29,297.8244194,60.5532562,1.12,1.0864325509,9.2035674491
KIC 5172229 ,11.27,10.14,298.3720749,62.086623,1.13,1.09515235887,9.04484764113
KIC 4659706 ,11.48,10.2,307.5212911,60.2328914,1.28,1.24652747497,8.95347252503
