,KIC,numax_apo,dnu_apo,Teff,[M/H]2,kic_kepmag
1500,6181896,70.57,6.48,4893.0,-0.52,11.5
1502,6101471,102.86,9.15,4761.0,-0.21,11.818
1512,6929729,64.86,6.06,4610.0,0.12,11.607000000000001
1519,6843557,48.39,4.81,4543.0,0.2,11.052
1520,6843705,30.14,3.46,4539.0,-0.35,11.025
1522,6928997,121.76,10.0,4776.0,0.23,11.584000000000001
1524,6929280,33.67,4.02,4599.0,0.13,11.439
1527,6502831,27.36,4.09,4924.0,-0.92,11.502
1535,6756908,27.61,3.44,4626.0,0.04,11.744000000000002
1537,6756579,38.53,3.88,4853.0,-0.26,10.414000000000001
1541,6501676,43.44,4.77,4573.0,-0.19,11.472999999999999
1545,6755907,43.41,4.79,4570.0,-0.15,11.712
1546,6755830,42.7,4.48,4634.0,0.2,10.829
1550,6755373,50.26,5.14,4651.0,-0.05,10.350999999999999
1552,3323943,33.04,4.02,4592.0,-0.21,11.609000000000002
1553,3217051,37.14,4.2,4551.0,0.33,11.378
1554,3216467,31.61,3.77,4474.0,0.48,11.208
1557,3526625,35.27,4.19,4635.0,0.1,11.409
1559,3424105,51.65,5.13,4429.0,0.26,11.529000000000002
1561,3425675,32.04,4.04,4665.0,-0.16,11.299000000000001
1562,3527032,43.01,4.5,4654.0,-0.21,10.671
1563,3425476,40.24,4.4,4717.0,0.04,11.675999999999998
1567,3527891,30.97,3.49,4566.0,0.05,10.193999999999999
1571,3529597,53.75,4.89,4762.0,0.11,11.705
1572,3529276,57.52,5.58,4723.0,-0.24,11.057
1575,3528656,20.83,2.66,4433.0,-0.47,11.395999999999999
1578,3631402,46.33,4.85,4682.0,0.17,11.745
1579,3326790,26.29,3.58,4603.0,-0.18,11.027000000000001
1582,3530823,45.55,4.61,4770.0,-0.06,11.741
1583,3531478,242.16,17.11,4996.0,-0.09,11.637
1586,3222670,34.73,4.05,4881.0,-0.31,10.231
1587,3222220,30.5,3.7,4572.0,0.09,11.183
1588,3633057,49.91,5.22,4580.0,-0.31,11.49
1589,3633152,32.75,3.94,4536.0,-0.36,10.966
1590,3532734,151.11,11.92,4744.0,-0.16,11.557
1592,3432732,79.1,6.34,4953.0,0.26,10.738
1594,3736477,28.93,3.91,4658.0,-0.59,11.815999999999999
1597,2140446,57.83,5.63,4473.0,0.32,11.814
1598,2283075,67.57,6.45,4657.0,0.19,10.914000000000001
1602,2554924,33.97,3.94,4594.0,0.27,11.727
1603,2423824,22.81,2.78,4907.0,-0.39,11.050999999999998
1605,2142095,28.83,3.71,4732.0,-0.43,11.527999999999999
1606,2141928,34.49,4.02,4583.0,0.16,10.722999999999999
1607,2834230,88.72,7.0,5072.0,-0.13,10.432
1610,2424934,33.8,3.9,4729.0,-0.18,10.377
1611,2285898,25.93,3.84,4677.0,-0.26,10.842
1612,2424822,93.09,8.08,4787.0,0.04,11.684000000000001
1614,3101090,32.88,3.89,4590.0,-0.05,11.345999999999998
1616,2696732,91.29,8.28,4735.0,-0.18,11.495
1617,2697082,31.76,3.29,4725.0,0.1,11.095
1618,2836038,37.1,4.12,4546.0,0.33,11.334000000000001
1619,2973894,28.72,4.0,4964.0,-0.95,11.481
1621,3102479,39.49,4.25,4506.0,0.27,11.800999999999998
1624,3942203,34.92,4.21,4557.0,-0.1,11.052999999999999
1628,4042951,32.1,4.11,4830.0,-0.66,11.517000000000001
1629,4143460,39.65,4.23,4642.0,-0.36,11.685
1630,3733028,179.8,13.11,4810.0,0.03,11.731
1633,4350501,143.83,11.03,4759.0,-0.23,11.737
1634,4141815,43.56,4.6,4640.0,-0.02,10.759
1635,3835996,46.25,5.02,4714.0,-0.29,11.597999999999999
1636,4041405,18.81,2.58,4367.0,-0.62,11.049000000000001
1637,4140726,49.96,4.91,4550.0,0.06,11.73
1639,3938291,115.1,9.31,4993.0,-0.13,10.536
1640,4039306,33.74,4.19,4688.0,-0.15,11.554
1641,4244973,51.29,4.7,4831.0,0.31,10.305
1642,4139914,37.55,4.24,4612.0,-0.13,10.167
1643,4139784,48.1,4.85,4532.0,0.17,11.255
1644,4040211,38.57,4.21,4597.0,-0.31,11.517000000000001
1645,3937217,29.15,3.71,4620.0,-0.24,11.630999999999998
1646,4243796,38.27,4.26,4490.0,0.2,10.796
1647,4243803,16.4,1.83,4492.0,0.05,10.384
1648,4346893,32.93,3.93,4473.0,0.39,10.151
1649,4346319,45.06,4.66,4613.0,0.2,11.415
1654,4445711,36.07,4.24,4648.0,-0.34,10.716
1655,4241369,61.18,5.72,4769.0,-0.02,10.431
1656,4345370,31.81,4.03,4617.0,-1.17,11.503
1658,3934458,36.91,4.25,4593.0,-0.11,10.437000000000001
1659,4136374,52.36,5.14,4699.0,0.01,10.835999999999999
1660,4036300,38.6,4.37,4682.0,-0.08,11.280999999999999
1661,4036007,37.76,4.37,4633.0,-0.48,11.427999999999999
1662,5084662,41.17,4.49,4759.0,-0.36,11.642000000000001
1664,4548564,56.47,5.98,4437.0,-0.36,11.814
1665,4640537,34.21,4.04,4490.0,0.18,11.818
1667,5083936,34.8,4.23,4845.0,-0.47,10.584000000000001
1668,4995788,166.08,13.4,4654.0,0.27,11.720999999999998
1669,4546625,34.07,4.09,4453.0,0.07,11.61
1670,4448636,33.78,3.97,4420.0,0.35,11.783
1671,4545474,37.47,3.93,4429.0,0.22,10.765
1672,4638317,27.9,3.4,4427.0,-0.34,11.297
1674,4906950,53.73,5.23,4511.0,0.14,10.651
1679,4543229,25.67,3.18,4324.0,-0.28,11.794
1682,1864855,127.42,10.42,4835.0,-0.05,11.548
1684,2444348,30.05,3.25,4550.0,0.18,10.315999999999999
1685,2303367,33.59,4.11,4716.0,0.18,10.182
1687,2305930,29.3,3.9,4666.0,-0.69,10.800999999999998
1688,2018392,33.53,3.76,4604.0,-0.12,11.767999999999999
1689,2307683,40.09,4.31,4598.0,-0.23,11.55
1690,1726211,31.08,3.7,4765.0,-0.72,10.93
1691,2448225,36.02,3.95,4615.0,0.25,10.806
1693,2449703,32.07,3.96,4643.0,0.04,11.437999999999999
1694,2309469,27.94,3.48,4464.0,0.22,11.610999999999999
1695,2996112,33.22,3.92,4634.0,-0.04,11.597999999999999
1696,1720425,28.67,3.79,4545.0,-0.2,10.78
1698,1162746,27.98,3.82,4711.0,-0.56,11.446
1699,1432587,5.73,1.08,4214.0,-0.23,11.547
1700,1433730,40.12,4.05,4555.0,-0.06,10.892000000000001
1701,1576469,88.63,7.32,5004.0,0.12,10.357000000000001
1702,1433593,67.46,6.24,4693.0,0.11,11.522
1703,1435573,26.83,3.69,4577.0,0.1,11.415
1706,3120486,137.11,10.51,4832.0,0.23,11.753
1707,3120585,101.7,8.39,4784.0,0.02,11.582
1709,2714397,32.92,4.14,4777.0,-0.62,10.51
1712,3444374,56.02,5.7,4561.0,0.11,11.767999999999999
1714,2988988,38.32,4.26,4707.0,0.17,10.849
1715,3114408,29.88,3.42,4494.0,0.09,11.575999999999999
1716,3231503,42.56,4.28,4671.0,0.2,10.706
1719,3748691,38.83,4.25,4632.0,0.07,11.589
1720,3955590,20.12,2.75,4459.0,0.19,10.335999999999999
1721,4057744,26.02,2.9,4403.0,-0.03,10.702
1723,4262505,87.86,7.94,4831.0,-0.24,10.36
1724,3747777,43.57,4.41,4497.0,0.08,11.257
1725,3545147,54.84,5.25,4699.0,0.08,10.465
1726,3747860,36.42,4.02,4561.0,-0.33,11.752
1727,4056266,87.4,7.27,4922.0,-0.08,11.777000000000001
1729,3849027,26.6,3.71,4774.0,-0.42,11.749
1730,3443483,132.77,10.68,4841.0,0.02,11.61
1731,3645232,8.47,1.41,4215.0,-0.79,11.447000000000001
1732,3339894,29.59,3.37,4555.0,-0.4,11.339
1733,3847071,61.37,6.09,4620.0,-0.17,11.686
1734,3642038,40.57,4.26,4570.0,-0.17,11.265
1735,3847697,45.39,4.86,4525.0,-0.09,11.61
1736,3453419,45.56,4.63,4545.0,0.26,11.745
1739,3860176,75.32,6.63,4842.0,0.14,11.614
1741,4168909,141.93,11.62,4806.0,0.37,10.866
1742,3760337,37.96,4.24,4624.0,0.16,10.356
1744,3869326,47.59,4.54,4626.0,0.22,11.597999999999999
1748,3560181,32.38,3.92,4506.0,0.27,11.042
1749,4760954,45.01,4.71,4599.0,0.13,11.649000000000001
1751,4279700,31.33,3.5,4435.0,0.05,11.745
1752,4575645,41.33,4.44,4618.0,0.27,10.366
1755,4937204,39.86,4.4,4628.0,-0.36,10.658
1759,4378473,22.63,2.84,4463.0,-0.36,10.952
1760,4475934,39.73,4.35,4699.0,0.02,11.512
1761,4755467,36.77,4.38,4700.0,-0.19,10.886
1762,4662939,64.17,5.53,4698.0,0.38,10.993
1763,4570555,195.19,14.83,4930.0,-0.16,11.54
1764,4843143,33.41,3.89,4556.0,0.15,10.511
1765,4569298,36.78,4.11,4475.0,0.3,11.464
1767,4271039,46.64,5.14,4665.0,-0.4,11.796
1769,4469886,56.77,5.47,4870.0,-0.13,11.795
1770,4469602,32.59,3.5,4595.0,-0.11,11.088
1771,5288716,35.76,4.19,4573.0,-0.2,11.546
1777,5287610,60.14,6.12,4515.0,-0.03,11.39
1778,5374118,60.48,5.6,4725.0,-0.02,11.306
1782,5283798,54.5,5.29,4727.0,0.17,11.707
1785,4930906,32.68,3.84,4477.0,0.17,11.623
1786,5104949,22.32,3.02,4498.0,-0.08,11.515
1787,5017711,35.92,4.01,4474.0,0.1,11.743
1788,3656231,37.69,4.23,4610.0,0.05,11.65
1789,4169130,38.37,4.25,4696.0,0.18,11.11
1790,3758458,71.28,5.87,4851.0,0.17,11.284
1792,4275625,31.99,3.71,4596.0,0.12,11.030999999999999
1793,3660976,40.48,3.92,4917.0,-0.18,11.658
1798,3455760,47.61,4.85,4498.0,-0.08,10.940999999999999
1800,3457618,35.01,3.6,4506.0,0.18,11.498
1802,4764420,38.91,4.37,4540.0,0.15,11.564
1803,4764422,31.63,3.91,4568.0,-0.15,11.145999999999999
1811,4570120,88.61,7.27,5019.0,0.01,11.642000000000001
1814,4269391,37.69,4.09,4527.0,0.25,10.966
1815,4164910,38.25,4.35,4671.0,0.17,11.027000000000001
1816,5288607,61.28,5.71,4818.0,0.17,10.985
1830,5285357,32.38,4.05,4632.0,-0.05,11.634
1834,5196152,79.17,7.32,4634.0,-0.11,11.59
1835,4933594,34.16,4.09,4479.0,0.16,11.592
1836,5282875,45.9,4.69,4880.0,-0.17,10.712
1837,5283958,54.6,5.11,4869.0,-0.06,11.575999999999999
