SNR1,SNR2,SNR3,SNR4,SNR5
14.4268928782,20.1536598908,38.2342218205,14.9524005872,11.4248624763
11.4769317371,15.1624265447,25.5788724321,19.1061792757,12.7933990957
21.3775017218,32.8675618343,80.2184549219,18.8959916188,13.0784840088
40.0734966363,15.4866831441,42.2345624752,11.1833799411,4.60365990779
19.509323874,49.7021445531,106.825693304,106.113590705,20.6013859949
44.3257201829,38.1046131081,29.771411778,20.2464405284,9.55670746774
20.9064075146,45.5724531681,90.763454101,48.4090891965,39.8471594047
10.8244968387,22.2544911097,106.491904055,23.2283118162,15.9085259259
28.9692566779,31.8577436896,34.0722410565,13.1966069883,7.81177777859
10.7873044588,26.6173927529,51.7315101913,59.7639196463,13.0512779905
7.36577806147,18.2648551803,30.3403154803,50.9502150934,14.317786329
10.1707538335,84.0670860195,89.8699080768,26.8254151649,25.5943012885
40.1164730533,124.295304391,319.220433133,94.7798287772,29.8922289057
18.4964621171,18.4964621171,59.0958533305,111.152769692,52.9629491801
25.7917297283,44.4792128223,58.108217518,20.4898778228,12.750981591
25.1551099774,35.2452045413,35.541968984,37.8296742564,9.50006567098
21.6432065697,46.3462353586,63.6335131416,18.1718541085,9.95141007491
12.6736676629,15.920313492,37.5443737596,24.3944900788,35.6469662467
14.0455144658,40.4998199058,304.268111655,71.5899942803,22.0460328482
17.2744825591,14.1699256802,37.0209208643,34.7647532598,19.4264191391
44.3585800266,35.9848698363,65.6790625161,61.0358277981,17.9291609503
12.9069394294,29.0270951113,23.787911377,24.8598498903,22.7902418232
28.8148567968,129.688746092,142.71906896,98.287304215,23.7830499484
19.1566602395,16.1226010726,30.3067835951,13.3265537883,13.0472447775
39.6293499512,99.0775876118,148.937533115,55.5308471923,27.5243515149
7.71136348988,21.4213004537,46.3527936094,44.7841378608,40.3747942728
20.2473629907,14.1845213035,45.3162040086,26.9785815169,12.7591428655
86.7396911052,112.526435423,129.913831381,86.591438334,25.2401075729
45.9131813026,58.6176964787,77.2317560726,26.4098203263,15.837584922
38.4817310006,104.582765597,414.965830682,134.569604338,26.0561952357
35.7706440718,47.3770327018,49.9635763723,21.7246019966,23.2621561896
29.0621046978,35.924817185,78.3631510563,54.0141191231,16.6308253041
52.2617677927,115.411520234,155.538258011,30.8202816979,21.2026815565
17.8108208291,19.2802069804,54.7872368651,26.090671876,18.7460668408
34.4628916758,45.2362503121,58.6262262691,42.5016458895,10.0563062956
16.7953401715,22.0633421938,483.960055424,188.325976335,29.61521275
16.1893036455,37.7792020102,41.7713237362,21.249510857,20.4920099402
16.8763478368,28.100491216,95.9839126847,16.3948115693,23.3977261734
19.5035782145,59.6817826072,250.703137502,49.649916801,29.7251107353
18.359505776,37.7748219602,39.01019107,37.6852284082,14.344258729
11.7743330864,27.3400958831,26.4371041815,30.0291051386,12.6906305414
61.3506466239,37.2668013844,65.3530948023,25.0658653758,16.4584544585
10.5221675856,11.0028817021,36.472630254,21.4839249594,21.6134826209
54.2191315291,107.086632589,115.360752884,43.062216638,19.3819086516
27.7348517006,28.4991115024,38.6960151287,26.8585358407,30.8592787176
35.9067413479,71.7934894684,167.308400255,165.563219626,54.0119710627
6.04466444339,12.2084302955,43.8670076183,43.0789113516,35.8700594673
45.4776683427,96.1193794838,304.949180469,64.3795671484,24.5299224419
8.07003949695,24.3911791669,38.2917979668,31.9185161426,10.6297338064
14.4520666143,12.4623474501,41.8747211466,19.4758404754,17.4381355583
30.9924452375,91.1599404344,118.986375382,76.9538852265,19.3564825966
12.352270076,14.1885875305,43.1438997182,26.6114310652,25.5767024064
6.02562431564,35.0211593489,27.6927122255,33.0727426019,12.961726773
20.9889853705,20.9889853705,25.7765152941,195.277719956,58.2270110906
11.8759137812,21.4533408713,42.0964226783,31.0210662368,8.83979436513
25.4745114081,50.2638400502,73.5564543685,25.7165498346,17.4160344281
50.9563454029,109.328172521,140.120060345,30.0433510549,11.7898252971
6.45717679567,19.9625501854,71.4635324208,40.6498543438,22.7149539991
12.8186975762,24.7491622491,228.378062376,161.237813224,33.786829236
19.3865025158,39.5911885991,43.6154487077,25.054129169,25.054129169
28.7044647137,66.3404777728,118.162703517,26.2253378895,23.8204374588
36.1116365461,42.8564774192,45.7354900138,38.6648787002,26.9280872776
15.6208799127,61.5991799858,221.377130498,31.4834790952,36.3339331012
