kic1	kic2	tyc1	tyc2
KIC	10545152	TYC	3561-86-1
KIC	10742794	TYC	3561-587-1
KIC	10480806	TYC	3561-992-1
KIC	10285722	TYC	3561-1934-1
KIC	10482001	TYC	3561-1948-1
KIC	10416550	TYC	3561-1402-1
KIC	10086465	TYC	3561-1411-1
KIC	10991271	TYC	3562-310-1
KIC	11045572	TYC	3562-892-1
KIC	11152823	TYC	3566-349-1
KIC	11152753	TYC	3562-97-1
KIC	10992126	TYC	3562-342-1
KIC	10936814	TYC	3562-444-1
KIC	10991673	TYC	3562-492-1
KIC	11204531	TYC	3565-436-1
KIC	11044315	TYC	3561-769-1
KIC	11152312	TYC	3565-924-1
KIC	10935853	TYC	3562-890-1
KIC	10934758	TYC	3561-578-1
KIC	10877915	KIC	10877915
KIC	11043832	TYC	3561-604-1
KIC	10747240	KIC	10747240
KIC	10873444	TYC	3561-1856-1
KIC	10743092	TYC	3561-689-1
KIC	10743515	KIC	10743515
KIC	10809457	TYC	3561-467-1
KIC	8955683		TYC
KIC	9025029		TYC
KIC	9157260		TYC
KIC	9220076		KIC
KIC	9283816		TYC
KIC	9283918		TYC
KIC	9025882		TYC
KIC	9346602		TYC
KIC	9469165		TYC
KIC	9408361		TYC
KIC	9222389		KIC
KIC	9409513		TYC
KIC	9027871		TYC
KIC	9350701		TYC
KIC	9350031		KIC
KIC	9411366		KIC
KIC	9163153		TYC
KIC	9100444		KIC
KIC	9163785		TYC
KIC	9351617		KIC
KIC	9351186		KIC
KIC	9414068		KIC
KIC	9034557		KIC
KIC	9229601		KIC
KIC	9292408		KIC
KIC	9291249		KIC
KIC	9291830		TYC
KIC	9291976		KIC
KIC	9353187		TYC
KIC	9475697		TYC
KIC	9353531		TYC
KIC	8564559		TYC
KIC	8693004		TYC
KIC	8693018		KIC
KIC	8822689		TYC
KIC	8957543		KIC
KIC	8822878		TYC
KIC	8824452		TYC
KIC	8824264		TYC
KIC	8890410		TYC
KIC	8565016		TYC
KIC	9028511		KIC
KIC	9028321		TYC
KIC	8759811		TYC
KIC	8759746		KIC
KIC	8759207		TYC
KIC	8825444		TYC
KIC	9029195		TYC
KIC	8826079		TYC
KIC	9029603		TYC
KIC	8962844		KIC
KIC	8962923		TYC
KIC	8827934		TYC
KIC	8761471		KIC
KIC	8826496		KIC
KIC	9032691		TYC
KIC	9658002		TYC
KIC	9780183		TYC
KIC	9839918		TYC
KIC	9839246		TYC
KIC	9597214		TYC
KIC	9536330		TYC
KIC	9658793		TYC
KIC	9658072		TYC
KIC	9535050		TYC
KIC	9534934		TYC
KIC	9412408		TYC
KIC	9596639		KIC
KIC	9718024		TYC
KIC	9596106		KIC
KIC	9472076		TYC
KIC	9716866		KIC
KIC	9656523		KIC
KIC	9470276		KIC
KIC	9471284		TYC
KIC	9655101		TYC
KIC	9775927		TYC
KIC	9716522		TYC
KIC	9835626		TYC
KIC	9835436		KIC
KIC	9652704		KIC
KIC	9714063		TYC
KIC	9713617		TYC
KIC	9529974		TYC
KIC	9712888		TYC
KIC	9406638		NSVS
KIC	9591097		TYC
KIC	9711349		KIC
KIC	9711231		TYC
KIC	9711492		TYC
KIC	9650046		TYC
KIC	9650527		TYC
KIC	9589638		TYC
KIC	9282363		TYC
KIC	9405269		TYC
KIC	9405555		TYC
KIC	9405480		TYC
KIC	10282002	TYC	3560-3228-1
KIC	10083480	TYC	3560-3088-1
KIC	10018973	TYC	3560-2844-1
KIC	9958567		TYC
KIC	10018239	KIC	10018239
KIC	10213931	TYC	3560-963-1
KIC	10280586	TYC	3560-2307-1
KIC	10148026	TYC	3560-2540-1
KIC	10212620	KIC	10212620
KIC	10147072	TYC	3560-2745-1
KIC	9896174		KIC
KIC	9835790		TYC
KIC	10145279	KIC	10145279
KIC	9893889		TYC
KIC	9833073		TYC
KIC	6762022		TYC
KIC	7018252		TYC
KIC	7429055		TYC
KIC	7347189		TYC
KIC	7103297		KIC
KIC	7103666		TYC
KIC	6935260		TYC
KIC	7020371		TYC
KIC	6850417		TYC
KIC	6850177		TYC
KIC	6851499		TYC
KIC	6936796		TYC
KIC	7108501		TYC
KIC	6854095		KIC
KIC	6768319		KIC
KIC	6853779		KIC
KIC	6854391		TYC
KIC	6768355		TYC
KIC	7109120		TYC
KIC	6940048		TYC
KIC	7025721		TYC
KIC	7273672		TYC
KIC	7191673		TYC
KIC	7273426		TYC
KIC	6429457		TYC
KIC	6428974		KIC
KIC	6590363		TYC
KIC	6508328		TYC
KIC	6508943		KIC
KIC	6191288		TYC
KIC	6192431		TYC
KIC	6430534		TYC
KIC	6192043		TYC
KIC	6764229		TYC
KIC	6849167		TYC
KIC	6677653		TYC
KIC	6678428		TYC
KIC	6765032		TYC
KIC	6678432		TYC
KIC	6593240		KIC
KIC	6431941		KIC
KIC	6593623		KIC
KIC	6680734		TYC
KIC	6680386		TYC
KIC	6594505		KIC
KIC	6681414		TYC
KIC	7674224		KIC
KIC	7672969		TYC
KIC	7744204		TYC
KIC	7518352		TYC
KIC	7352718		KIC
KIC	7189610		TYC
KIC	7190047		TYC
KIC	7516687		KIC
KIC	7351098		TYC
KIC	7270142		TYC
KIC	7671562		TYC
KIC	7596350		TYC
KIC	7743176		TYC
KIC	7672405		TYC
KIC	7595285		TYC
KIC	7515516		TYC
KIC	7431665		KIC
KIC	7349386		KIC
KIC	7593843		KIC
KIC	7430868		TYC
KIC	7430415		KIC
KIC	7668782		KIC
KIC	7592356		TYC
KIC	7346442		TYC
KIC	7346365		TYC
KIC	7591642		KIC
KIC	7510604		TYC
KIC	7345200		TYC
KIC	7017044		TYC
KIC	7100768		TYC
KIC	7950550		TYC
KIC	8088244		TYC
KIC	7949599		KIC
KIC	7811522		TYC
KIC	7949258		TYC
KIC	8154541		TYC
KIC	8354896		TYC
KIC	7670419		TYC
KIC	7670489		TYC
KIC	8154383		TYC
KIC	8086192		TYC
