SNR1,SNR2,SNR3,SNR4
22.9684603603,21.8255557039,57.7175885533,20.9555343984
16.6107376314,23.5281759701,29.3439307624,19.9914331934
4.49944063504,27.3177693758,24.4589607158,20.5696236402
27.7021119739,27.3579579941,163.531691598,85.9996123819
19.1271759217,29.9421452795,37.6177979505,16.8500619852
52.0733830821,86.2343029514,453.302284435,190.300419643
14.1135852043,44.7898483388,49.6011475752,29.9030392834
13.7385074817,33.5603093111,61.0234792393,32.0717739579
60.9241869245,61.7022157291,78.4785435813,31.4355602998
16.3596560708,18.325852358,36.6967545263,30.2195042933
14.7901846869,27.0101852593,36.7011426781,10.778843632
33.8337531367,44.7457571508,90.8284024157,15.6543709306
11.3646850598,19.7003113006,20.5576266385,12.9704384897
14.172181867,40.8156927159,116.402768602,111.114271227
30.0117904151,32.0376211442,80.3233325068,56.4634572869
13.6795989614,36.393039906,117.115232126,64.6668463985
39.9767953053,61.7292949234,137.990996642,38.52418601
0.0,0.0,0.0,0.0
17.6281424991,32.6885325898,41.2557784114,25.4579325262
0.0,0.0,0.0,0.0
6.35359671468,19.391183243,57.3526270047,27.8852545925
7.98027695061,24.5898510953,77.2943792744,41.3622055935
23.6695542457,52.1541795273,90.0422214424,84.3855104192
19.7027611771,191.511561263,506.095086952,85.7452625709
17.5812876655,46.041421412,39.1241045414,25.2162627814
15.6314929932,21.4122256878,49.2951375646,35.0496430817
13.8709258673,15.3081643124,34.3011969783,32.2703907226
16.6142528223,40.75981405,54.9210600418,29.7523128901
19.5246856236,40.3822534752,98.0259038014,33.7945941857
74.2551694637,89.0281430905,21.4169788061,23.2064160921
17.5008691364,25.1346697979,91.164338926,82.9751109951
26.2897766294,36.0270827764,137.494670839,103.936664921
32.8383063866,65.4841817036,55.019880477,14.2548964349
24.4729569779,30.9567390694,161.603883351,81.313002944
20.8434865979,18.9615354485,27.5476494028,20.6000894601
19.7498363183,44.9892664451,71.1542018647,40.5323677548
17.336196395,36.4309966536,72.2251906407,23.2361328848
26.2101930874,22.6719565356,31.8181444369,19.7692437425
27.8884517202,53.9508985094,225.81046113,220.738851604
