KIC,Kp,dnu,numax
8822689.0,10.939,5.04045617874,55.6428951862
11028372.0,11.631,4.58605535637,41.2202873725
8354896.0,11.147,8.33431427992,93.3195023906
8802374.0,10.954,3.56965446513,32.433507085
12121207.0,11.515,3.56793732095,28.6220275477
2424822.0,11.684,8.05390015578,98.1417276663
0.0,0.0,0.0,0.0
5283798.0,11.707,5.28538217078,53.3508316431
10880958.0,10.563,4.05275871353,40.3751762448
0.0,0.0,0.0,0.0
12121377.0,11.752,4.54642759332,40.8429945965
11414700.0,11.371,4.25194022258,38.3505271108
3942203.0,11.053,4.16114156871,33.1490780983
12003253.0,11.193,3.85566871063,30.3756691559
5599763.0,11.72,3.80170628346,29.8814231966
7510604.0,11.407,4.19795188897,37.231388571
8350443.0,10.781,3.95713307764,35.2788685286
1864855.0,11.548,9.2786111453,117.639821051
6502831.0,11.502,4.03787552372,27.3287424015
7351098.0,11.202,8.90237932502,116.390826106
10983401.0,10.615,7.702287397,100.998074485
7807614.0,11.555,3.78998317982,34.2985913597
5598789.0,10.502,5.47998307495,54.4941273851
6755373.0,10.351,5.17291914455,47.3901209471
9521461.0,10.844,5.35206701418,59.4265734097
11247049.0,11.087,3.88694671977,34.7178975128
9909804.0,10.75,4.28886693394,38.3723989417
0.0,0.0,0.0,0.0
11136854.0,10.944,7.24927481407,88.2174482138
9904563.0,11.82,4.25203897769,42.4330973158
6345474.0,11.079,4.00773393214,32.3055609756
7346365.0,11.696,4.60134681829,53.2204162485
7744204.0,11.169,5.14318760036,56.9721706093
11468340.0,11.758,4.51558415516,40.7002939794
6929729.0,11.607,6.05771718908,55.3340309161
10157507.0,10.586,6.63097174341,67.3940954509
4269391.0,10.966,4.11235224119,41.2148912908
0.0,0.0,0.0,0.0
10602976.0,11.695,4.25225868802,37.7561594145
11855110.0,11.697,4.34728542757,39.2320219321
10859779.0,11.677,7.29759705531,81.271342955
9025029.0,10.751,4.38496240049,44.1486904306
3102479.0,11.801,4.28691646904,38.2567373695
10483504.0,11.647,8.59254467996,105.070783644
9662395.0,11.448,4.45013350587,49.0817311796
10723388.0,11.482,4.04911221075,27.7169986903
8612520.0,11.725,4.23584797906,42.3809263461
11455176.0,11.509,4.13649671803,41.7743968368
9518506.0,10.648,4.99014808736,49.9610919756
9635388.0,11.377,4.35059844986,39.1415774134
9471284.0,11.332,4.3537916552,43.2097542878
11769182.0,10.6,4.56023036452,41.6045635514
6680734.0,11.68,2.35069971105,18.7919594738
8675106.0,10.607,6.54595048284,67.1087536544
9825039.0,10.638,8.34198338468,110.151823108
11146152.0,11.135,3.561942618,31.8150684123
3869326.0,11.598,4.62767548146,50.3331863525
6594505.0,11.656,4.13331419825,36.8150413056
10799530.0,11.639,4.27556767209,33.6648104102
